iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
2630,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.612000089
2640,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.623842421
2650,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.630060633
2660,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.634722498
2670,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.640131091
2680,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.650654548
2690,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.656103532
2700,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.662144095
2710,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.667220587
2720,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.674847374
2730,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.679865078
2740,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.685753694
2750,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6912231
2760,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.696049992
2770,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.705830318
2780,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.710566024
2790,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.715334666
2800,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.721423174
2810,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.727512272
2820,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.732924801
2830,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.738218769
2840,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.743072427
2850,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.747837007
2860,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.752717558
2870,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.758145933
2880,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.763045636
2890,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.768203409
2900,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.780937878
2910,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.786846263
2920,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.791908717
2930,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.796690678
2940,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.802250972
2950,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.813583927
2960,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.823714776
2970,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.832683924
2980,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.837724836
2990,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.843991405
3000,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.856186356
3010,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.861408974
3020,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.86649851
3030,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.880572968
